x,y,heading
7.9988179206848145,-1.8285152912139893,-0.001125335693359375
8.01614261853813,-1.828569735630904,-0.001126959772393255
8.033467316391445,-1.828624180047819,-0.0011285838514271348
8.05079201424476,-1.8286786244647337,-0.001130207930461015
8.068116712098075,-1.8287330688816485,-0.0011318320094948948
8.08544140995139,-1.8287875132985634,-0.0011334560885287747
8.102766107804705,-1.8288419577154782,-0.0011350801675626546
8.12009080565802,-1.828896402132393,-0.0011367042465965347
8.137415503511335,-1.8289508465493078,-0.0011383283256304146
8.15474020136465,-1.8290052909662229,-0.0011399524046642945
8.172064899217965,-1.8290597353831377,-0.0011415764836981744
8.18938959707128,-1.8291141798000525,-0.0011432005627320546
8.206714294924595,-1.8291686242169674,-0.0011448246417659345
8.22403899277791,-1.8292230686338822,-0.0011464487207998144
8.241363690631225,-1.829277513050797,-0.0011480727998336943
8.25868838848454,-1.8293319574677118,-0.0011496968788675742
8.276013086337855,-1.8293864018846266,-0.0011513209579014543
8.29333778419117,-1.8294408463015415,-0.0011529450369353342
8.310662482044485,-1.8294952907184563,-0.001154569115969214
8.3279871798978,-1.8295497351353711,-0.001156193195003094
8.345311877751115,-1.829604179552286,-0.001157817274036974
8.36263657560443,-1.8296586239692008,-0.001159441353070854
8.379961273457745,-1.8297130683861156,-0.001161065432104734
8.39728597131106,-1.8297675128030304,-0.0011626895111386138
8.414610669164375,-1.8298219572199452,-0.0011643135901724937
8.43193536701769,-1.82987640163686,-0.0011659376692063738
8.449260064871005,-1.829930846053775,-0.0011675617482402537
8.466584762724318,-1.82998529047069,-0.0011691858272741336
8.483909460577634,-1.8300397348876047,-0.0011708099063080135
8.501234158430949,-1.8300941793045196,-0.0011724339853418937
8.518558856284264,-1.8301486237214344,-0.0011740580643757736
8.535883554137579,-1.8302030681383492,-0.0011756821434096535
8.553208251990894,-1.830257512555264,-0.0011773062224435334
8.570532949844209,-1.8303119569721789,-0.0011789303014774135
8.587857647697524,-1.8303664013890937,-0.0011805543805112934
8.605182345550839,-1.8304208458060085,-0.0011821784595451733
8.622507043404154,-1.8304752902229233,-0.0011838025385790532
8.639831741257469,-1.8305297346398381,-0.001185426617612933
8.657156439110784,-1.830584179056753,-0.0011870506966468132
8.674481136964099,-1.8306386234736678,-0.001188674775680693
8.691805834817414,-1.8306930678905826,-0.001190298854714573
8.709130532670729,-1.8307475123074974,-0.001191922933748453
